0	Running Free	Iron Maiden	Heavy Metal	3
1	Sanctuary	Iron Maiden	Heavy Metal	3
2	Women in Uniform	Iron Maiden	Heavy Metal	3
3	Twilight Zone	Iron Maiden	Heavy Metal	3
4	Purgatory	Iron Maiden	Heavy Metal	3
5	Run to the Hills	Iron Maiden	Heavy Metal	3
6	The Number of the Beast	Iron Maiden	Heavy Metal	3
7	Flight of Icarus	Iron Maiden	Heavy Metal	3
8	The Trooper	Iron Maiden	Heavy Metal	3
9	2 Minutes to Midnight	Iron Maiden	Heavy Metal	3
10	Aces High	Iron Maiden	Heavy Metal	3
11	Stranger in a Strange Land	Iron Maiden	Heavy Metal	3
12	Wasted Years	Iron Maiden	Heavy Metal	3
13	Can I Play With Madness	Iron Maiden	Heavy Metal	3
14	The Evil That Men Do	Iron Maiden	Heavy Metal	3
15	The Clairvoyant	Iron Maiden	Heavy Metal	3
16	Infinite Dreams	Iron Maiden	Heavy Metal	3
17	Holy Smoke	Iron Maiden	Heavy Metal	3
18	Bring Your Daughter… to the Slaughter	Iron Maiden	Heavy Metal	3
19	Be Quick or Be Dead	Iron Maiden	Heavy Metal	3
20	From Here to Eternity	Iron Maiden	Heavy Metal	3
21	Wasting Love	Iron Maiden	Heavy Metal	3
22	Man on the Edge	Iron Maiden	Heavy Metal	3
23	Virus	Iron Maiden	Heavy Metal	3
24	Lord of the Flies	Iron Maiden	Heavy Metal	8
25	The Angel and the Gambler	Iron Maiden	Heavy Metal	8
26	Futureal	Iron Maiden	Heavy Metal	8
27	The Wicker Man	Iron Maiden	Heavy Metal	8
28	Out of the Silent Planet	Iron Maiden	Heavy Metal	8
29	Wildest Dreams	Iron Maiden	Heavy Metal	8
30	Rainmaker	Iron Maiden	Heavy Metal	8
31	The Reincarnation of Benjamin Breeg	Iron Maiden	Heavy Metal	8
32	El Dorado	Iron Maiden	Heavy Metal	8
33	Speed of Light	Iron Maiden	Heavy Metal	8
34	Empire of the Clouds	Iron Maiden	Heavy Metal	8
35	Música gerada 1 de 10cc	10cc	Funk	4
